pdf_index,site_row,skip,filename,title,agency,release_date,url,folder
107,143,False,NASA-UAP-D6_Apollo_17_Technical_Crew_Debriefing_1973.pdf,"NASA-UAP-D6, Apollo 17 Technical Crew Debriefing, 1973",NASA,5/8/26,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d6-apollo-17-technical-crew-debriefing-1973.pdf,NASA-UAP-D6_Apollo_17_Technical_Crew_Debriefing_1973
108,144,False,NASA-UAP-D7_Skylab_Techincal_Crew_Debriefing_1973.pdf,"NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973",NASA,5/8/26,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d7-skylab-technical-crew-debriefing-1973.pdf,NASA-UAP-D7_Skylab_Techincal_Crew_Debriefing_1973
109,151,False,State_Department_UAP_Cable_1_Papua_New_Guinea_January_28_1985.pdf,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,5/8/26,https://www.war.gov/medialink/ufo/release_1/dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,State_Department_UAP_Cable_1_Papua_New_Guinea_January_28_1985
110,152,False,State_Department_UAP_Cable_2_Kazakhstan_January_31_1994.pdf,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,5/8/26,https://www.war.gov/medialink/ufo/release_1/dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,State_Department_UAP_Cable_2_Kazakhstan_January_31_1994
111,153,False,State_Department_UAP_Cable_3_Tbilisi_Georgia_October_30_2001.pdf,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,5/8/26,https://www.war.gov/medialink/ufo/release_1/059uap00011.pdf,State_Department_UAP_Cable_3_Tbilisi_Georgia_October_30_2001
112,154,False,State_Department_UAP_Cable_4_Ashgabat_Turkmenistan_November_5_2004.pdf,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,5/8/26,https://www.war.gov/medialink/ufo/release_1/059uap00012.pdf,State_Department_UAP_Cable_4_Ashgabat_Turkmenistan_November_5_2004
113,155,False,State_Department_UAP_Cable_5_Mexico_September_16_2003.pdf,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,5/8/26,https://www.war.gov/medialink/ufo/release_1/059uap00013.pdf,State_Department_UAP_Cable_5_Mexico_September_16_2003
114,156,False,USPER_Statement_about_UAP_Sighting.pdf,USPER Statement about UAP Sighting,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/usper-statement-redacted.pdf,USPER_Statement_about_UAP_Sighting
115,157,False,FBI_September_2023_Sighting_-_Composite_Sketch.pdf,FBI September 2023 Sighting - Composite Sketch,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/2024-04-30-composite-sketch.pdf,FBI_September_2023_Sighting_-_Composite_Sketch
116,158,False,FBI_September_2023_Sighting_-_Serial_3.pdf,FBI September 2023 Sighting - Serial 3,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/serial 5 redacted_redacted.pdf,FBI_September_2023_Sighting_-_Serial_3
117,159,False,FBI_September_2023_Sighting_-_Serial_4.pdf,FBI September 2023 Sighting - Serial 4,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/serial-3_redacted.pdf,FBI_September_2023_Sighting_-_Serial_4
118,160,False,FBI_September_2023_Sighting_-_Serial_5.pdf,FBI September 2023 Sighting - Serial 5,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/serial-4-redacted_redacted.pdf,FBI_September_2023_Sighting_-_Serial_5
119,161,False,Western_US_Event.pdf,Western US Event,Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf,Western_US_Event
